Plate Reference, East(X), North (Y), Height (Z), Support Name, Room, Level, Support Type, Dtata Sheet, Page, Fire Rated, Designer
/1HFA0ASV0002/1, 565650.00, 172575.00, -6590.00, /1HFA0ASV0002, /1HFA0A03ZL-, 0A, Support Type 2 - Ceiling Support, 45062_MWG_DR_00080_40002_Support_Type_2, 1, No, D. Rothwell
/1HFA0ASV0002/2, 565650.00, 172905.00, -6580.00, /1HFA0ASV0002, /1HFA0A03ZL-, 0A, Support Type 2 - Ceiling Support, 45062_MWG_DR_00080_40002_Support_Type_2, 1, No, D. Rothwell
/1HFA0ASV0001/1, 564970.00, 172575.00, -6590.00, /1HFA0ASV0001, /1HFA0A03ZL-, 0A, Support Type 2 - Ceiling Support, 45062_MWG_DR_00080_40002_Support_Type_2, 1, No, D. Rothwell
/1HFA0ASV0001/2, 564970.00, 172925.00, -6580.00, /1HFA0ASV0001, /1HFA0A03ZL-, 0A, Support Type 2 - Ceiling Support, 45062_MWG_DR_00080_40002_Support_Type_2, 1, No, D. Rothwell
/1HFA0ASV0007/2, 566550.00, 172545.20, -6965.00, /1HFA0ASV0007, /1HFA0A03ZL-, 0A, Support Type 9 - Vertical Duct Wall Support, 45062_MWG_DR_00080_40009_Support_Type_9, 1, No, D. Rothwell
/1HFA0ASV0007/1, 566550.00, 172954.80, -6965.00, /1HFA0ASV0007, /1HFA0A03ZL-, 0A, Support Type 9 - Vertical Duct Wall Support, 45062_MWG_DR_00080_40009_Support_Type_9, 1, No, D. Rothwell
/1HFA0ASV0029/1, 564545.00, 172089.00, -6590.00, /1HFA0ASV0029, /1HFA0A03ZL-, 0A, Support Type 2 - Ceiling Support, 45062_MWG_DR_00080_40002_Support_Type_2, 1, No, D. Rothwell
/1HFA0ASV0029/2, 564195.00, 172086.00, -6580.00, /1HFA0ASV0029, /1HFA0A03ZL-, 0A, Support Type 2 - Ceiling Support, 45062_MWG_DR_00080_40002_Support_Type_2, 1, No, D. Rothwell
/1HFA0ASV0030/1, 564220.00, 173171.00, -6590.00, /1HFA0ASV0030, /1HFA0A03ZL-, 0A, Support Type 2 - Ceiling Support, 45062_MWG_DR_00080_40002_Support_Type_2, 1, No, D. Rothwell
/1HFA0ASV0030/2, 564520.00, 173179.00, -6580.00, /1HFA0ASV0030, /1HFA0A03ZL-, 0A, Support Type 2 - Ceiling Support, 45062_MWG_DR_00080_40002_Support_Type_2, 1, No, D. Rothwell
/1HFA0ASV0004/1, 566550.00, 173160.00, -9757.00, /1HFA0ASV0004, /1HFA0A03ZL-, 0A, Support Type 5 - Wall Support Cantilever 2, 45062_MWG_DR_00080_40005_Support_Type_5, 2, No, D. Rothwell
/1HFA0ASV0037/1, 566550.00, 174105.00, -9707.00, /1HFA0ASV0037, /1HFA0A03ZL-, 0A, Support Type 5 - Wall Support Cantilever 2, 45062_MWG_DR_00080_40005_Support_Type_5, 2, No, D. Rothwell
/1HFA0ASV0016/1, 566402.70, 174700.00, -9575.00, /1HFA0ASV0016, /1HFA0A02ZL-, 0A, Support Type 7 - Fire Damper Wall Support 2, 45062_MWG_DR_00080_40008_Support_Type_7, 2, No, D. Rothwell
/1HFA0ASV0016/2, 565987.30, 174700.00, -9575.00, /1HFA0ASV0016, /1HFA0A02ZL-, 0A, Support Type 7 - Fire Damper Wall Support 2, 45062_MWG_DR_00080_40008_Support_Type_7, 2, No, D. Rothwell
/1HFA0ASV0024/1, 566535.00, 175700.00, -9322.00, /1HFA0ASV0024, /1HFA0A02ZL-, 0A, Support Type 5 - Wall Support Cantilever 2, 45062_MWG_DR_00080_40005_Support_Type_5, 4, No, D. Rothwell
/1HFA0ASV0005/1, 566535.00, 176450.00, -9320.00, /1HFA0ASV0005, /1HFA0A02ZL-, 0A, Support Type 5 - Wall Support Cantilever 2, 45062_MWG_DR_00080_40005_Support_Type_5, 4, No, D. Rothwell
/1HFA0ASV0003/1, 566550.00, 173160.00, -8540.00, /1HFA0ASV0003, /1HFA0A03ZL-, 0A, Support Type 5 - Wall Support Cantilever 2, 45062_MWG_DR_00080_40005_Support_Type_5, 2, No, D. Rothwell
/1HFA0ASV0027/1, 566550.00, 174105.00, -8540.00, /1HFA0ASV0027, /1HFA0A03ZL-, 0A, Support Type 5 - Wall Support Cantilever 2, 45062_MWG_DR_00080_40005_Support_Type_5, 2, No, D. Rothwell
/1HFA0ASV0025/1, 566100.00, 175003.00, -8760.00, /1HFA0ASV0025, /1HFA0A02ZL-, 0A, Support Type 7 - Fire Damper Wall Support 1, 45062_MWG_DR_00080_40008_Support_Type_7, 1, No, D. Rothwell
/1HFA0ASV0025/2, 566290.00, 175003.00, -8760.00, /1HFA0ASV0025, /1HFA0A02ZL-, 0A, Support Type 7 - Fire Damper Wall Support 1, 45062_MWG_DR_00080_40008_Support_Type_7, 1, No, D. Rothwell
/1HFA0ASV0026/1, 566535.00, 175306.00, -9000.00, /1HFA0ASV0026, /1HFA0A02ZL-, 0A, Support Type 5 - Special, 45062_MWG_DR_00080_40005_Support_Type_5, 4, No, D. Rothwell
/1HFA0ASV0031/1, 566535.00, 176100.00, -9000.00, /1HFA0ASV0031, /1HFA0A02ZL-, 0A, Support Type 5 - Wall Support Cantilever 2, 45062_MWG_DR_00080_40005_Support_Type_5, 4, No, D. Rothwell
/1HFA0ASV0006/1, 565200.00, 176525.00, -8760.00, /1HFA0ASV0006, /1HFA0A02ZL-, 0A, Support Type 2 - Ceiling Support, 45062_MWG_DR_00080_40002_Support_Type_2, 1, No, D. Rothwell
/1HFA0ASV0006/2, 565200.00, 176771.00, -8750.00, /1HFA0ASV0006, /1HFA0A02ZL-, 0A, Support Type 2 - Ceiling Support, 45062_MWG_DR_00080_40002_Support_Type_2, 1, No, D. Rothwell
/1HFA0ASV0038/1, 562575.00, 177735.00, -8150.00, /1HFA0ASV0038, /1HFA0A02ZL-, 0A, Support Type 5 - Wall Support Cantilever 3, 45062_MWG_DR_00080_40005_Support_Type_5, 3, No, D. Rothwell
/1HFA0ASV0038/2, 562575.00, 177739.39, -8789.39, /1HFA0ASV0038, /1HFA0A02ZL-, 0A, Support Type 5 - Wall Support Cantilever 3, 45062_MWG_DR_00080_40005_Support_Type_5, 3, No, D. Rothwell
/1HFA0ASV0028/1, 560534.81, 176485.00, -6588.00, /1HFA0ASV0028, /1HFA0A02ZL-, 0A, Support Type 2 - Ceiling Support, 45062_MWG_DR_00080_40002_Support_Type_2, 1, No, D. Rothwell
/1HFA0ASV0028/2, 560534.81, 176815.00, -6590.00, /1HFA0ASV0028, /1HFA0A02ZL-, 0A, Support Type 2 - Ceiling Support, 45062_MWG_DR_00080_40002_Support_Type_2, 1, No, D. Rothwell
/1HFA0ASV0017/1, 559750.00, 176442.30, -8000.05, /1HFA0ASV0017, /1HFA0A02ZL-, 0A, Support Type 7 - Fire Damper Wall Support 1, 45062_MWG_DR_00080_40008_Support_Type_7, 1, No, D. Rothwell
/1HFA0ASV0017/2, 559750.00, 176857.70, -8000.05, /1HFA0ASV0017, /1HFA0A02ZL-, 0A, Support Type 7 - Fire Damper Wall Support 1, 45062_MWG_DR_00080_40008_Support_Type_7, 1, No, D. Rothwell
/1HFA04SV0012/1, 566535.00, 173050.20, -1435.00, /1HFA04SV0012, /1HFA0404ZL-, 04, Support Type 9 - Vertical Duct Wall Support, 45062_MWG_DR_00080_40009_Support_Type_9, 1, No, D. Rothwell
/1HFA04SV0012/2, 566550.00, 172449.80, -1435.00, /1HFA04SV0012, /1HFA0404ZL-, 04, Support Type 9 - Vertical Duct Wall Support, 45062_MWG_DR_00080_40009_Support_Type_9, 1, No, D. Rothwell
/1HFA04SV0011/1, 566535.00, 173050.20, -3790.00, /1HFA04SV0011, /1HFA0404ZL-, 04, Support Type 9 - Vertical Duct Wall Support, 45062_MWG_DR_00080_40009_Support_Type_9, 1, No, D. Rothwell
/1HFA04SV0011/2, 566550.00, 172449.80, -3790.00, /1HFA04SV0011, /1HFA0404ZL-, 04, Support Type 9 - Vertical Duct Wall Support, 45062_MWG_DR_00080_40009_Support_Type_9, 1, No, D. Rothwell
/1HFA04SV0068/1, 566535.00, 172950.00, -5450.00, /1HFA04SV0068, /1HFA0404ZL-, 04, Support Type 9 - Vertical Duct Wall Support, 45062_MWG_DR_00080_40009_Support_Type_9, 1, No, D. Rothwell
/1HFA04SV0068/2, 566535.00, 172550.00, -5450.00, /1HFA04SV0068, /1HFA0404ZL-, 04, Support Type 9 - Vertical Duct Wall Support, 45062_MWG_DR_00080_40009_Support_Type_9, 1, No, D. Rothwell
/1HFA04SV0043/1, 566550.00, 171530.00, -1715.00, /1HFA04SV0043, /1HFA0404ZL-, 04, Support Type 5 - Wall Support Cantilever 2, 45062_MWG_DR_00080_40005_Support_Type_5, 2, No, D. Rothwell
/1HFA04SV0057/1, 564239.17, 170635.01, -510.00, /1HFA04SV0057, /1HFA0404ZL-, 04, Support Type 2 - Ceiling Support, 45062_MWG_DR_00080_40002_Support_Type_2, 1, No, D. Rothwell
/1HFA04SV0057/2, 564264.17, 170035.01, -510.00, /1HFA04SV0057, /1HFA0404ZL-, 04, Support Type 2 - Ceiling Support, 45062_MWG_DR_00080_40002_Support_Type_2, 1, No, D. Rothwell
/1HFA04SV0058/1, 563800.17, 169626.55, -510.00, /1HFA04SV0058, /1HFA0404ZL-, 04, Support Type 2 - Ceiling Support, 45062_MWG_DR_00080_40002_Support_Type_2, 1, No, D. Rothwell
/1HFA04SV0058/2, 564088.17, 169626.55, -510.00, /1HFA04SV0058, /1HFA0404ZL-, 04, Support Type 2 - Ceiling Support, 45062_MWG_DR_00080_40002_Support_Type_2, 1, No, D. Rothwell
/1HFA04SV0008/1, 564144.17, 167936.55, -510.00, /1HFA04SV0008, /1HFA0404ZL-, 04, Support Type 2 - Ceiling Support, 45062_MWG_DR_00080_40002_Support_Type_2, 1, No, D. Rothwell
/1HFA04SV0008/2, 563744.17, 167926.55, -500.00, /1HFA04SV0008, /1HFA0404ZL-, 04, Support Type 2 - Ceiling Support, 45062_MWG_DR_00080_40002_Support_Type_2, 1, No, D. Rothwell
/1HFA04SV0044/1, 563848.17, 165485.55, -500.00, /1HFA04SV0044, /1HFA0404ZL-, 04, Support Type 2 - Ceiling Support, 45062_MWG_DR_00080_40002_Support_Type_2, 1, No, D. Rothwell
/1HFA04SV0044/2, 564122.79, 165485.55, -500.00, /1HFA04SV0044, /1HFA0404ZL-, 04, Support Type 2 - Ceiling Support, 45062_MWG_DR_00080_40002_Support_Type_2, 1, No, D. Rothwell
/1HFA04SV0009/1, 564094.17, 163135.55, -510.00, /1HFA04SV0009, /1HFA0404ZL-, 04, Support Type 2 - Ceiling Support, 45062_MWG_DR_00080_40002_Support_Type_2, 1, No, D. Rothwell
/1HFA04SV0009/2, 563794.17, 163127.55, -500.00, /1HFA04SV0009, /1HFA0404ZL-, 04, Support Type 2 - Ceiling Support, 45062_MWG_DR_00080_40002_Support_Type_2, 1, No, D. Rothwell
/1HFA04SV0010/1, 564094.17, 160735.55, -510.00, /1HFA04SV0010, /1HFA0404ZL-, 04, Support Type 2 - Ceiling Support, 45062_MWG_DR_00080_40002_Support_Type_2, 1, No, D. Rothwell
/1HFA04SV0010/2, 563794.17, 160727.55, -500.00, /1HFA04SV0010, /1HFA0404ZL-, 04, Support Type 2 - Ceiling Support, 45062_MWG_DR_00080_40002_Support_Type_2, 1, No, D. Rothwell
/1HFA04SV0045/1, 564104.15, 158321.55, -510.00, /1HFA04SV0045, /1HFA0404ZL-, 04, Support Type 2 - Ceiling Support, 45062_MWG_DR_00080_40002_Support_Type_2, 1, No, D. Rothwell
/1HFA04SV0045/2, 563784.15, 158321.55, -500.00, /1HFA04SV0045, /1HFA0404ZL-, 04, Support Type 2 - Ceiling Support, 45062_MWG_DR_00080_40002_Support_Type_2, 1, No, D. Rothwell
/1HFA04SV0050/1, 559075.46, 171101.56, -510.00, /1HFA04SV0050, /1HFA0404ZL-, 04, Support Type 2 - Ceiling Support, 45062_MWG_DR_00080_40002_Support_Type_2, 1, No, D. Rothwell
/1HFA04SV0050/2, 559325.46, 171111.56, -510.00, /1HFA04SV0050, /1HFA0404ZL-, 04, Support Type 2 - Ceiling Support, 45062_MWG_DR_00080_40002_Support_Type_2, 1, No, D. Rothwell
/1HFA04SV0051/1, 559072.46, 172545.56, -510.00, /1HFA04SV0051, /1HFA0404ZL-, 04, Support Type 2 - Ceiling Support, 45062_MWG_DR_00080_40002_Support_Type_2, 1, No, D. Rothwell
/1HFA04SV0051/2, 559322.46, 172545.56, -510.00, /1HFA04SV0051, /1HFA0404ZL-, 04, Support Type 2 - Ceiling Support, 45062_MWG_DR_00080_40002_Support_Type_2, 1, No, D. Rothwell
/1HFA04SV0040/1, 558992.78, 174349.99, -1675.00, /1HFA04SV0040, /1HFA0404ZL-, 04, Support Type 7 - Fire Damper Wall Support 2, 45062_MWG_DR_00080_40008_Support_Type_7, 2, No, D. Rothwell
/1HFA04SV0040/2, 559408.18, 174349.99, -1675.00, /1HFA04SV0040, /1HFA0404ZL-, 04, Support Type 7 - Fire Damper Wall Support 2, 45062_MWG_DR_00080_40008_Support_Type_7, 2, No, D. Rothwell
/1HFA04SV0007/1, 562641.72, 169985.00, -510.00, /1HFA04SV0007, /1HFA0404ZL-, 04, Support Type 2 - Ceiling Support, 45062_MWG_DR_00080_40002_Support_Type_2, 1, No, D. Rothwell
/1HFA04SV0007/2, 562641.72, 170735.01, -500.00, /1HFA04SV0007, /1HFA0404ZL-, 04, Support Type 2 - Ceiling Support, 45062_MWG_DR_00080_40002_Support_Type_2, 1, No, D. Rothwell
/1HFA04SV0006/1, 559956.19, 169984.99, -515.00, /1HFA04SV0006, /1HFA0404ZL-, 04, Support Type 2 - Ceiling Support, 45062_MWG_DR_00080_40002_Support_Type_2, 1, No, D. Rothwell
/1HFA04SV0006/2, 559956.19, 171226.53, -500.00, /1HFA04SV0006, /1HFA0404ZL-, 04, Support Type 2 - Ceiling Support, 45062_MWG_DR_00080_40002_Support_Type_2, 1, No, D. Rothwell
/1HFA04SV0005/1, 557325.46, 170766.55, -2935.00, /1HFA04SV0005, /1HFA0405ZL-, 04, Support Type 6 - Horizontal Duct Floor Support, 45062_MWG_DR_00080_70001_Support_Type_6, 1, No, D. Rothwell
/1HFA04SV0005/2, 557325.46, 169946.55, -2950.00, /1HFA04SV0005, /1HFA0405ZL-, 04, Support Type 6 - Horizontal Duct Floor Support, 45062_MWG_DR_00080_70001_Support_Type_6, 1, No, D. Rothwell
/1HFA04SV0021/1, 557002.89, 168540.00, -2935.00, /1HFA04SV0021, /1HFA0405ZL-, 04, Support Type 6 - Horizontal Duct Floor Support, 45062_MWG_DR_00080_70001_Support_Type_6, 1, No, D. Rothwell
/1HFA04SV0021/2, 556282.89, 168540.00, -2935.00, /1HFA04SV0021, /1HFA0405ZL-, 04, Support Type 6 - Horizontal Duct Floor Support, 45062_MWG_DR_00080_70001_Support_Type_6, 1, No, D. Rothwell
/1HFA04SV0004/1, 557002.89, 167650.00, -2935.00, /1HFA04SV0004, /1HFA0405ZL-, 04, Support Type 6 - Horizontal Duct Floor Support, 45062_MWG_DR_00080_70001_Support_Type_6, 1, No, D. Rothwell
/1HFA04SV0004/2, 556282.89, 167650.00, -2935.00, /1HFA04SV0004, /1HFA0405ZL-, 04, Support Type 6 - Horizontal Duct Floor Support, 45062_MWG_DR_00080_70001_Support_Type_6, 1, No, D. Rothwell
/1HFA04SV0002/1, 555793.00, 166425.00, -3310.00, /1HFA04SV0002, /1HFA0403ZL-, 04, Support Type 2 - Ceiling Support, 45062_MWG_DR_00080_40002_Support_Type_2, 1, No, D. Rothwell
/1HFA04SV0002/2, 555793.00, 166875.00, -3310.00, /1HFA04SV0002, /1HFA0403ZL-, 04, Support Type 2 - Ceiling Support, 45062_MWG_DR_00080_40002_Support_Type_2, 1, No, D. Rothwell
/1HFA04SV0061/1, 553393.00, 166425.00, -3310.00, /1HFA04SV0061, /1HFA0403ZL-, 04, Support Type 2 - Ceiling Support, 45062_MWG_DR_00080_40002_Support_Type_2, 1, No, D. Rothwell
/1HFA04SV0061/2, 553393.00, 166875.00, -3310.00, /1HFA04SV0061, /1HFA0403ZL-, 04, Support Type 2 - Ceiling Support, 45062_MWG_DR_00080_40002_Support_Type_2, 1, No, D. Rothwell
/1HFA04SV0003/1, 551393.00, 166425.00, -3310.00, /1HFA04SV0003, /1HFA0403ZL-, 04, Support Type 2 - Ceiling Support, 45062_MWG_DR_00080_40002_Support_Type_2, 1, No, D. Rothwell
/1HFA04SV0003/2, 551393.00, 166875.00, -3310.00, /1HFA04SV0003, /1HFA0403ZL-, 04, Support Type 2 - Ceiling Support, 45062_MWG_DR_00080_40002_Support_Type_2, 1, No, D. Rothwell
/1HFA04SV0001/1, 549293.00, 166450.00, -3310.00, /1HFA04SV0001, /1HFA0403ZL-, 04, Support Type 2 - Ceiling Support, 45062_MWG_DR_00080_40002_Support_Type_2, 1, No, D. Rothwell
/1HFA04SV0001/2, 549293.00, 166850.00, -3310.00, /1HFA04SV0001, /1HFA0403ZL-, 04, Support Type 2 - Ceiling Support, 45062_MWG_DR_00080_40002_Support_Type_2, 1, No, D. Rothwell
/1HFA10SV0057/1, 566535.00, 173042.50, 1515.00, /1HFA10SV0057, /1HFA1004ZL-, 10, Support Type 9 - Vertical Duct Wall Support, 45062_MWG_DR_00080_40009_Support_Type_9, 1, No, D. Rothwell
/1HFA10SV0057/2, 566550.00, 172457.50, 1515.00, /1HFA10SV0057, /1HFA1004ZL-, 10, Support Type 9 - Vertical Duct Wall Support, 45062_MWG_DR_00080_40009_Support_Type_9, 1, No, D. Rothwell
/1HFA10SV0087/1, 566535.00, 173042.50, 583.00, /1HFA10SV0087, /1HFA1004ZL-, 10, Support Type 7 - Fire Damper Wall Support 2, 45062_MWG_DR_00080_40008_Support_Type_7, 5, No, D. Rothwell
/1HFA10SV0087/2, 566550.00, 172457.50, 583.00, /1HFA10SV0087, /1HFA1004ZL-, 10, Support Type 7 - Fire Damper Wall Support 2, 45062_MWG_DR_00080_40008_Support_Type_7, 5, No, D. Rothwell
/1HFA10SV0001/1, 566550.00, 171307.70, 4135.00, /1HFA10SV0001, /1HFA1004ZL-, 10, Support Type 5 - Wall Support Cantilever 3, 45062_MWG_DR_00080_40005_Support_Type_5, 2, No, D. Rothwell
