Plate Name, Support Name, Plate Length, Plate Width, Plate Thickness, Line Number, Support Room, Room Description, Level, Support Type, Data Sheet, Sheet, Designer
/1HFA0ASV0002/1, /1HFA0ASV0002, 300, 150, 10, /1DVF1101GL-, /1HFA0A03ZL-, Cable Deck  Interface with 1HGT and 1HGJ, 0A, Support Type 2 - Ceiling Support, 45062_MWG_DR_00080_40002_Support_Type_2, 1, D. Rothwell
/1HFA0ASV0002/2, /1HFA0ASV0002, 300, 150, 10, /1DVF1101GL-, /1HFA0A03ZL-, Cable Deck  Interface with 1HGT and 1HGJ, 0A, Support Type 2 - Ceiling Support, 45062_MWG_DR_00080_40002_Support_Type_2, 1, D. Rothwell
/1HFA0ASV0001/1, /1HFA0ASV0001, 300, 150, 10, /1DVF1101GL-, /1HFA0A03ZL-, Cable Deck  Interface with 1HGT and 1HGJ, 0A, Support Type 2 - Ceiling Support, 45062_MWG_DR_00080_40002_Support_Type_2, 1, D. Rothwell
/1HFA0ASV0001/2, /1HFA0ASV0001, 300, 150, 10, /1DVF1101GL-, /1HFA0A03ZL-, Cable Deck  Interface with 1HGT and 1HGJ, 0A, Support Type 2 - Ceiling Support, 45062_MWG_DR_00080_40002_Support_Type_2, 1, D. Rothwell
/1HFA0ASV0007/2, /1HFA0ASV0007, 250, 300, 15, /1DVF1101GL-, /1HFA0A03ZL-, Cable Deck  Interface with 1HGT and 1HGJ, 0A, Support Type 9 - Vertical Duct Wall Support, 45062_MWG_DR_00080_40009_Support_Type_9, 1, D. Rothwell
/1HFA0ASV0007/1, /1HFA0ASV0007, 250, 300, 15, /1DVF1101GL-, /1HFA0A03ZL-, Cable Deck  Interface with 1HGT and 1HGJ, 0A, Support Type 9 - Vertical Duct Wall Support, 45062_MWG_DR_00080_40009_Support_Type_9, 1, D. Rothwell
/1HFA0ASV0029/1, /1HFA0ASV0029, 300, 150, 10, /1DVF1101GL-, /1HFA0A03ZL-, Cable Deck  Interface with 1HGT and 1HGJ, 0A, Support Type 2 - Ceiling Support, 45062_MWG_DR_00080_40002_Support_Type_2, 1, D. Rothwell
/1HFA0ASV0029/2, /1HFA0ASV0029, 300, 150, 10, /1DVF1101GL-, /1HFA0A03ZL-, Cable Deck  Interface with 1HGT and 1HGJ, 0A, Support Type 2 - Ceiling Support, 45062_MWG_DR_00080_40002_Support_Type_2, 1, D. Rothwell
/1HFA0ASV0030/1, /1HFA0ASV0030, 150, 300, 10, /1DVF1103GL-, /1HFA0A03ZL-, Cable Deck  Interface with 1HGT and 1HGJ, 0A, Support Type 2 - Ceiling Support, 45062_MWG_DR_00080_40002_Support_Type_2, 1, D. Rothwell
/1HFA0ASV0030/2, /1HFA0ASV0030, 150, 300, 10, /1DVF1103GL-, /1HFA0A03ZL-, Cable Deck  Interface with 1HGT and 1HGJ, 0A, Support Type 2 - Ceiling Support, 45062_MWG_DR_00080_40002_Support_Type_2, 1, D. Rothwell
/1HFA0ASV0004/1, /1HFA0ASV0004, 250, 300, 15, /1DVF1106GL-, /1HFA0A03ZL-, Cable Deck  Interface with 1HGT and 1HGJ, 0A,  Support Type 5 - Wall Support Cantilever, 45062_MWG_DR_00080_40005_Support_Type_5, 2, D. Rothwell
/1HFA0ASV0037/1, /1HFA0ASV0037, 250, 300, 15, /1DVF1106GL-, /1HFA0A03ZL-, Cable Deck  Interface with 1HGT and 1HGJ, 0A,  Support Type 5 - Wall Support Cantilever, 45062_MWG_DR_00080_40005_Support_Type_5, 2, D. Rothwell
/1HFA0ASV0016/1, /1HFA0ASV0016, 250, 300, 10, /1DVF1106GL-, /1HFA0A02ZL-, Firefighting Stairs, 0A, Support Type 7 - Fire Damper Wall Support 2, 45062_MWG_DR_00080_40008_Support_Type_7, 2, D. Rothwell
