Support Name, Line Number,Support Type, Support Data Sheet, Data Page,Room, Level, Wrap, Fire Rating, AFC, Approved, A, B, C, D, E
/1HFA0ASV0004, /1DVF1106GL-,  Support Type 5 - Wall Support Cantilever, 45062_MWG_DR_00080_40005_Support_Type_5, 2,/1HFA0A03ZL-, 0A, No, No, Yes, Yes, 150, 100, 130, 630, 700
/1HFA0ASV0037, /1DVF1106GL-,  Support Type 5 - Wall Support Cantilever, 45062_MWG_DR_00080_40005_Support_Type_5, 2,/1HFA0A03ZL-, 0A, No, No, Yes, Yes, 150, 100, 130, 630, 700
/1HFA0ASV0024, /1DVF1106GL-,  Support Type 5 - Wall Support Cantilever, 45062_MWG_DR_00080_40005_Support_Type_5, 4,/1HFA0A02ZL-, 0A, No, No, Yes, Yes, 150, 100, 250, 530, 350
/1HFA0ASV0005, /1DVF1106GL-,  Support Type 5 - Wall Support Cantilever, 45062_MWG_DR_00080_40005_Support_Type_5, 4,/1HFA0A02ZL-, 0A, No, No, Yes, Yes, 150, 100, 240, 520, 350
/1HFA0ASV0003, /1DVF1110GL-,  Support Type 5 - Wall Support Cantilever, 45062_MWG_DR_00080_40005_Support_Type_5, 2,/1HFA0A03ZL-, 0A, No, No, Yes, Yes, 100, 100, 180, 580, 630
/1HFA0ASV0027, /1DVF1110GL-,  Support Type 5 - Wall Support Cantilever, 45062_MWG_DR_00080_40005_Support_Type_5, 2,/1HFA0A03ZL-, 0A, No, No, Yes, Yes, 100, 100, 170, 570, 630
/1HFA0ASV0031, /1DVF1110GL-,  Support Type 5 - Wall Support Cantilever, 45062_MWG_DR_00080_40005_Support_Type_5, 4,/1HFA0A02ZL-, 0A, Yes, No, Yes, Yes, 100, 100, 280, 530, 300
/1HFA0ASV0038, /1DVF1110GL-,  Support Type 5 - Wall Support Cantilever, 45062_MWG_DR_00080_40005_Support_Type_5, 3,/1HFA0A02ZL-, 0A, No, No, Yes, Yes, 100, 100, 1085, 1285, 950
/1HFA04SV0043, /1DVF1202GL-,  Support Type 5 - Wall Support Cantilever, 45062_MWG_DR_00080_40005_Support_Type_5, 2,/1HFA0404ZL-, 04, No, No, Yes, Yes, 500, 450, 220, 820, 800
/1HFA10SV0001, /1DVF1302GL-,  Support Type 5 - Wall Support Cantilever, 45062_MWG_DR_00080_40005_Support_Type_5, 2,/1HFA1004ZL-, 10, No, No, No, Yes, 800, 550, 70, 980, 1190
/1HFB04SV0025, /1DVF2216GL-,  Support Type 5 - Wall Support Cantilever, 45062_MWG_DR_00080_40005_Support_Type_5, 2,/1HFB0404ZL-, 04, No, No, No, Yes, 150, 100, 430, 880, 731
/1HFB10SV0003, /1DVF2302GL-,  Support Type 5 - Wall Support Cantilever, 45062_MWG_DR_00080_40005_Support_Type_5, 2,/1HFB1004ZL-, 10, No, No, No, Yes, 800, 550, 75, 975, 880
/1HFB10SV0005, /1DVF2302GL-,  Support Type 5 - Wall Support Cantilever, 45062_MWG_DR_00080_40005_Support_Type_5, 2,/1HFB1004ZL-, 10, No, No, No, Yes, 800, 550, 75, 975, 880
/1HFB10SV0006, /1DVF2302GL-,  Support Type 5 - Wall Support Cantilever, 45062_MWG_DR_00080_40005_Support_Type_5, 2,/1HFB1004ZL-, 10, No, No, No, Yes, 800, 550, 75, 975, 880
/1HFB10SV0007, /1DVF2302GL-,  Support Type 5 - Wall Support Cantilever, 45062_MWG_DR_00080_40005_Support_Type_5, 2,/1HFB1004ZL-, 10, No, No, No, Yes, 800, 500, 75, 975, 841
/1HFB10SV0010, /1DVF2302GL-,  Support Type 5 - Wall Support Cantilever, 45062_MWG_DR_00080_40005_Support_Type_5, 2,/1HFB1004ZL-, 10, No, No, No, Yes, 800, 500, 75, 975, 841
/1HFB10SV0008, /1DVF2302GL-,  Support Type 5 - Wall Support Cantilever, 45062_MWG_DR_00080_40005_Support_Type_5, 2,/1HFB1004ZL-, 10, No, No, No, Yes, 800, 500, 75, 975, 841
/1HFB10SV0009, /1DVF2302GL-,  Support Type 5 - Wall Support Cantilever, 45062_MWG_DR_00080_40005_Support_Type_5, 2,/1HFB1004ZL-, 10, No, No, No, Yes, 800, 500, 75, 975, 841
/1HFB10SV0004, /1DVF2302GL-,  Support Type 5 - Wall Support Cantilever, 45062_MWG_DR_00080_40005_Support_Type_5, 2,/1HFB1004ZL-, 10, No, No, No, Yes, 800, 500, 75, 975, 841
/1HFA04SV0013, /1DVF3201GL-,  Support Type 5 - Wall Support Cantilever, 45062_MWG_DR_00080_40005_Support_Type_5, 4,/1HFA0404ZL-, 04, No, No, Yes, Yes, 300, 250, 230, 630, 450
/1HFA04SV0014, /1DVF3201GL-,  Support Type 5 - Wall Support Cantilever, 45062_MWG_DR_00080_40005_Support_Type_5, 4,/1HFA0404ZL-, 04, No, No, Yes, Yes, 300, 250, 245, 645, 450
/1HFA04SV0015, /1DVF3202GL-,  Support Type 5 - Wall Support Cantilever, 45062_MWG_DR_00080_40005_Support_Type_5, 4,/1HFA0404ZL-, 04, No, No, Yes, Yes, 300, 250, 245, 645, 450
/1HFA04SV0016, /1DVF3202GL-,  Support Type 5 - Wall Support Cantilever, 45062_MWG_DR_00080_40005_Support_Type_5, 2,/1HFA0404ZL-, 04, No, No, Yes, Yes, 300, 250, 240, 640, 450
/1HFB04SV0063, /1DVF4201GL-,  Support Type 5 - Wall Support Cantilever, 45062_MWG_DR_00080_40005_Support_Type_5, 2,/1HFB0404ZL-, 04, No, No, Yes, Yes, 250, 300, 324, 675, 641
/1HFB04SV0062, /1DVF4201GL-,  Support Type 5 - Wall Support Cantilever, 45062_MWG_DR_00080_40005_Support_Type_5, 2,/1HFB0404ZL-, 04, No, No, Yes, Yes, 250, 300, 324, 675, 641
