Support Name, Line Number,Support Type, Support Data Sheet, Data Page,Room, Wrap, Fire Rating, AFC, Approved, A, B, C, D, E
/1HFA04SV0005, /1DVF1217GL-, Support Type 6 - Horizontal Duct Floor Support, 45062_MWG_DR_00080_70001_Support_Type_6, 1,/1HFA0405ZL-, 04, No, No, Yes, Yes, 500, 350, 750, 875, 1150
/1HFA04SV0021, /1DVF1217GL-, Support Type 6 - Horizontal Duct Floor Support, 45062_MWG_DR_00080_70001_Support_Type_6, 1,/1HFA0405ZL-, 04, No, No, Yes, Yes, 500, 350, 1180, 825, 1580
/1HFA04SV0004, /1DVF1217GL-, Support Type 6 - Horizontal Duct Floor Support, 45062_MWG_DR_00080_70001_Support_Type_6, 1,/1HFA0405ZL-, 04, No, No, Yes, Yes, 500, 350, 1180, 825, 1580
/1HFB04SV0020, /1DVF2208GL-, Support Type 6 - Horizontal Duct Floor Support, 45062_MWG_DR_00080_70001_Support_Type_6, 1,/1HFB0405ZL-, 04, No, No, Yes, Yes, 500, 400, 1150, 880, 1600
/1HFA04SV0017, /1DVF3204GL-, Support Type 6 - Horizontal Duct Floor Support, 45062_MWG_DR_00080_70001_Support_Type_6, 1,/1HFA0405ZL-, 04, No, No, Yes, Yes, 300, 250, 275, 480, 575
/1HFA04SV0018, /1DVF3204GL-, Support Type 6 - Horizontal Duct Floor Support, 45062_MWG_DR_00080_70001_Support_Type_6, 1,/1HFA0405ZL-, 04, No, No, Yes, Yes, 300, 250, 275, 480, 575
/1HFA04SV0019, /1DVF3204GL-, Support Type 6 - Horizontal Duct Floor Support, 45062_MWG_DR_00080_70001_Support_Type_6, 1,/1HFA0405ZL-, 04, No, No, Yes, Yes, 300, 250, 275, 500, 575
/1HFA04SV0074, /1DVF5212GL-, Support Type 6 - Horizontal Duct Floor Support, 45062_MWG_DR_00080_70001_Support_Type_6, 5,/1HFA0404ZL-, 04, Yes, EIS, No, Yes, 500, 500, 60, 1560, 610
/1HFA04SV0038, /1DVF5225GL-, Support Type 6 - Horizontal Duct Floor Support, 45062_MWG_DR_00080_70001_Support_Type_6, 1,/1HFA0405ZL-, 04, No, E, No, Yes, 800, 1000, 195, 1010, 1245
/1HFA04SV0062, /1DVF5225GL-, Support Type 6 - Horizontal Duct Floor Support, 45062_MWG_DR_00080_70001_Support_Type_6, 1,/1HFA0405ZL-, 04, No, E, No, Yes, 800, 1000, 195, 1010, 1245
/1HFA04SV0039, /1DVF5225GL-, Support Type 6 - Horizontal Duct Floor Support, 45062_MWG_DR_00080_70001_Support_Type_6, 1,/1HFA0405ZL-, 04, No, E, No, Yes, 800, 1000, 195, 1010, 1245
/1HFB04SV0051, /1DVF6220GL-, Support Type 6 - Horizontal Duct Floor Support, 45062_MWG_DR_00080_70001_Support_Type_6, 1,/1HFB0405ZL-, 04, No, E, Yes, Yes, 800, 1000, 190, 1010, 1240
/1HFB04SV0067, /1DVF6220GL-, Support Type 6 - Horizontal Duct Floor Support, 45062_MWG_DR_00080_70001_Support_Type_6, 1,/1HFB0405ZL-, 04, No, E, Yes, Yes, 800, 1000, 190, 1010, 1240
/1HFB04SV0049, /1DVF6220GL-, Support Type 6 - Horizontal Duct Floor Support, 45062_MWG_DR_00080_70001_Support_Type_6, 1,/1HFB0405ZL-, 04, No, EIS, No, Yes, 980, 1180, 100, 1190, 1330
