Support Name, Line Number, Support Room, Room Description, Level, Support Type, Support Data Sheet, Data Page, Wrap, Approved, Fire Rating, Building, Designer
/1HFA0ASV0002,/1DVF1101GL-,/1HFA0A03ZL-,Cable Deck  Interface with 1HGT and 1HGJ, 0A, Support Type 2 - Ceiling Support,45062_MWG_DR_00080_40002_Support_Type_2,1,No,Yes, No, 1HF Building, D. Rothwell
/1HFA0ASV0001,/1DVF1101GL-,/1HFA0A03ZL-,Cable Deck  Interface with 1HGT and 1HGJ, 0A, Support Type 2 - Ceiling Support,45062_MWG_DR_00080_40002_Support_Type_2,1,No,Yes, No, 1HF Building, D. Rothwell
/1HFA0ASV0007,/1DVF1101GL-,/1HFA0A03ZL-,Cable Deck  Interface with 1HGT and 1HGJ, 0A, Support Type 9 - Vertical Duct Wall Support,45062_MWG_DR_00080_40009_Support_Type_9,1,No,Yes, No, 1HF Building, D. Rothwell
/1HFA0ASV0029,/1DVF1101GL-,/1HFA0A03ZL-,Cable Deck  Interface with 1HGT and 1HGJ, 0A, Support Type 2 - Ceiling Support,45062_MWG_DR_00080_40002_Support_Type_2,1,No,Yes, No, 1HF Building, D. Rothwell
/1HFA0ASV0030,/1DVF1103GL-,/1HFA0A03ZL-,Cable Deck  Interface with 1HGT and 1HGJ, 0A, Support Type 2 - Ceiling Support,45062_MWG_DR_00080_40002_Support_Type_2,1,No,Yes, No, 1HF Building, D. Rothwell
/1HFA0ASV0004,/1DVF1106GL-,/1HFA0A03ZL-,Cable Deck  Interface with 1HGT and 1HGJ, 0A,  Support Type 5 - Wall Support Cantilever,45062_MWG_DR_00080_40005_Support_Type_5,2,No,Yes, No, 1HF Building, D. Rothwell
/1HFA0ASV0037,/1DVF1106GL-,/1HFA0A03ZL-,Cable Deck  Interface with 1HGT and 1HGJ, 0A,  Support Type 5 - Wall Support Cantilever,45062_MWG_DR_00080_40005_Support_Type_5,2,No,Yes, No, 1HF Building, D. Rothwell
/1HFA0ASV0016,/1DVF1106GL-,/1HFA0A02ZL-,Firefighting Stairs, 0A, Support Type 7 - Fire Damper Wall Support 2,45062_MWG_DR_00080_40008_Support_Type_7,2,Yes,Yes, No, 1HF Building, D. Rothwell
/1HFA0ASV0024,/1DVF1106GL-,/1HFA0A02ZL-,Firefighting Stairs, 0A,  Support Type 5 - Wall Support Cantilever,45062_MWG_DR_00080_40005_Support_Type_5,4,No,Yes, No, 1HF Building, D. Rothwell
/1HFA0ASV0005,/1DVF1106GL-,/1HFA0A02ZL-,Firefighting Stairs, 0A,  Support Type 5 - Wall Support Cantilever,45062_MWG_DR_00080_40005_Support_Type_5,4,No,Yes, No, 1HF Building, D. Rothwell
