Flange Reference, Duct Reference, PDMS Duct Type, Line Number, Flange Height, Duct Length A (mm), Duct Width B (mm), Level
20442/22685/40A, 20442/22685, STRT, /1DVF1101GL-, 40, 300, 200, 0A
20442/22685/40B, 20442/22685, STRT, /1DVF1101GL-, 40, 300, 200, 0A
20442/22686/40A, 20442/22686, STRT, /1DVF1101GL-, 40, 200, 300, 0A
20442/22686/40C, 20442/22686, BRCO, /1DVF1101GL-, 40, 200, 150, 0A
20442/22686/40D, 20442/22686, BRCO, /1DVF1101GL-, 40, 200, 150, 0A
20442/18363/40A, 20442/18363, STRT, /1DVF1101GL-, 40, 350, 200, 0A
20442/18363/40B, 20442/18363, STRT, /1DVF1101GL-, 40, 350, 200, 0A
20442/46988/40A, 20442/46988, STRT, /1DVF1101GL-, 40, 350, 200, 0A
20442/46988/40B, 20442/46988, STRT, /1DVF1101GL-, 40, 350, 200, 0A
20442/18361/40A, 20442/18361, STRT, /1DVF1101GL-, 40, 350, 200, 0A
20442/18361/40B, 20442/18361, STRT, /1DVF1101GL-, 40, 350, 200, 0A
20442/18361/40C, 20442/18361, BRCO, /1DVF1101GL-, 40, 200, 300, 0A
20442/18351/40A, 20442/18351, STRT, /1DVF1101GL-, 40, 200, 150, 0A
20442/18351/40C, 20442/18351, BRCO, /1DVF1101GL-, 40, 200, 150, 0A
20442/18343/40A, 20442/18343, STRT, /1DVF1103GL-, 40, 200, 150, 0A
20442/18343/40C, 20442/18343, BRCO, /1DVF1103GL-, 40, 200, 150, 0A
20442/18365/40A, 20442/18365, TAPE, /1DVF1106GL-, 40, 200, 350, 0A
20442/18365/40B, 20442/18365, TAPE, /1DVF1106GL-, 40, 200, 150, 0A
20442/18366/40A, 20442/18366, STRT, /1DVF1106GL-, 40, 200, 150, 0A
20442/18366/40B, 20442/18366, STRT, /1DVF1106GL-, 40, 200, 150, 0A
20442/18366/40C, 20442/18366, BRCO, /1DVF1106GL-, 40, 100, 100, 0A
20442/18367/40A, 20442/18367, BEND, /1DVF1106GL-, 40, 150, 200, 0A
20442/18367/40B, 20442/18367, BEND, /1DVF1106GL-, 40, 150, 200, 0A
20442/18370/40A, 20442/18370, STRT, /1DVF1106GL-, 40, 150, 200, 0A
20442/18370/40B, 20442/18370, STRT, /1DVF1106GL-, 40, 150, 200, 0A
20442/18371/40A, 20442/18371, STRT, /1DVF1106GL-, 40, 150, 200, 0A
20442/18371/40B, 20442/18371, STRT, /1DVF1106GL-, 40, 150, 200, 0A
20442/18374/40A, 20442/18374, BEND, /1DVF1106GL-, 40, 150, 200, 0A
20442/18374/40B, 20442/18374, BEND, /1DVF1106GL-, 40, 150, 200, 0A
20442/18375/40A, 20442/18375, BEND, /1DVF1106GL-, 40, 150, 200, 0A
20442/18375/40B, 20442/18375, BEND, /1DVF1106GL-, 40, 150, 200, 0A
20442/18373/40A, 20442/18373, STRT, /1DVF1106GL-, 40, 150, 200, 0A
20442/18373/40B, 20442/18373, STRT, /1DVF1106GL-, 40, 150, 200, 0A
20442/18382/40A, 20442/18382, STRT, /1DVF1110GL-, 40, 100, 100, 0A
20442/18382/40B, 20442/18382, STRT, /1DVF1110GL-, 40, 100, 100, 0A
20442/18383/40A, 20442/18383, STRT, /1DVF1110GL-, 40, 100, 100, 0A
20442/18383/40B, 20442/18383, STRT, /1DVF1110GL-, 40, 100, 100, 0A
20442/18384/40A, 20442/18384, STRT, /1DVF1110GL-, 40, 100, 100, 0A
20442/18384/40B, 20442/18384, STRT, /1DVF1110GL-, 40, 100, 100, 0A
20442/18387/40A, 20442/18387, STRT, /1DVF1110GL-, 40, 100, 100, 0A
20442/18387/40B, 20442/18387, STRT, /1DVF1110GL-, 40, 100, 100, 0A
20442/18386/40A, 20442/18386, BEND, /1DVF1110GL-, 40, 100, 100, 0A
20442/18386/40B, 20442/18386, BEND, /1DVF1110GL-, 40, 100, 100, 0A
20442/18388/40A, 20442/18388, STRT, /1DVF1110GL-, 40, 100, 100, 0A
20442/18388/40B, 20442/18388, STRT, /1DVF1110GL-, 40, 100, 100, 0A
20442/55594/40A, 20442/55594, STRT, /1DVF1110GL-, 40, 100, 100, 0A
20442/55594/40B, 20442/55594, STRT, /1DVF1110GL-, 40, 100, 100, 0A
20442/55595/40A, 20442/55595, STRT, /1DVF1110GL-, 40, 100, 100, 0A
20442/55595/40B, 20442/55595, STRT, /1DVF1110GL-, 40, 100, 100, 0A
20442/67999/40A, 20442/67999, OFST, /1DVF1110GL-, 40, 100, 100, 0A
20442/67999/40B, 20442/67999, OFST, /1DVF1110GL-, 40, 100, 100, 0A
20442/55599/40A, 20442/55599, STRT, /1DVF1110GL-, 40, 100, 100, 0A
20442/55599/40B, 20442/55599, STRT, /1DVF1110GL-, 40, 100, 100, 0A
20442/55606/40A, 20442/55606, STRT, /1DVF1110GL-, 40, 100, 100, 0A
20442/55606/40B, 20442/55606, STRT, /1DVF1110GL-, 40, 100, 100, 0A
20442/22974/50A, 20442/22974, STRT, /1DVF1201GL-, 50, 500, 550, 04
20442/22974/50B, 20442/22974, STRT, /1DVF1201GL-, 50, 500, 550, 04
20442/7971/50A, 20442/7971, STRT, /1DVF1201GL-, 50, 500, 550, 04
20442/7971/50B, 20442/7971, STRT, /1DVF1201GL-, 50, 500, 550, 04
20442/18842/50A, 20442/18842, STRT, /1DVF1201GL-, 50, 500, 550, 04
20442/18842/50B, 20442/18842, STRT, /1DVF1201GL-, 50, 500, 550, 04
20442/18842/50C, 20442/18842, BRCO, /1DVF1201GL-, 50, 450, 500, 04
36826/4276/50A, 36826/4276, STRT, /1DVF1201GL-, 50, 550, 500, 04
36826/4276/50B, 36826/4276, STRT, /1DVF1201GL-, 50, 550, 500, 04
20442/18841/50A, 20442/18841, STRT, /1DVF1201GL-, 50, 550, 500, 04
20442/18841/50B, 20442/18841, STRT, /1DVF1201GL-, 50, 550, 500, 04
20442/18843/50A, 20442/18843, TAPE, /1DVF1201GL-, 50, 500, 550, 04
20442/18843/40B, 20442/18843, TAPE, /1DVF1201GL-, 50, 200, 350, 04
20442/18845/40A, 20442/18845, STRT, /1DVF1201GL-, 40, 200, 350, 04
20442/18845/40B, 20442/18845, STRT, /1DVF1201GL-, 40, 200, 350, 04
20442/18973/50A, 20442/18973, STRT, /1DVF1202GL-, 50, 500, 450, 04
20442/18973/50B, 20442/18973, STRT, /1DVF1202GL-, 50, 500, 450, 04
20442/19721/50A, 20442/19721, BEND, /1DVF1202GL-, 50, 500, 450, 04
20442/19721/50B, 20442/19721, BEND, /1DVF1202GL-, 50, 500, 450, 04
20442/19726/50A, 20442/19726, STRT, /1DVF1202GL-, 50, 500, 450, 04
20442/19726/50B, 20442/19726, STRT, /1DVF1202GL-, 50, 500, 450, 04
20442/1868/50A, 20442/1868, BEND, /1DVF1202GL-, 50, 500, 450, 04
20442/1868/50B, 20442/1868, BEND, /1DVF1202GL-, 50, 500, 450, 04
20442/18976/50A, 20442/18976, STRT, /1DVF1202GL-, 50, 500, 450, 04
20442/18976/50B, 20442/18976, STRT, /1DVF1202GL-, 50, 500, 450, 04
20442/18976/40C, 20442/18976, BRCO, /1DVF1202GL-, 40, 250, 250, 04
20442/22966/40A, 20442/22966, OFST, /1DVF1202GL-, 40, 250, 250, 04
20442/22966/40B, 20442/22966, OFST, /1DVF1202GL-, 40, 250, 250, 04
20442/19022/40A, 20442/19022, STRT, /1DVF1202GL-, 40, 250, 250, 04
20442/19022/40B, 20442/19022, STRT, /1DVF1202GL-, 40, 250, 250, 04
20442/19024/40A, 20442/19024, STRT, /1DVF1202GL-, 40, 250, 250, 04
20442/19024/40B, 20442/19024, STRT, /1DVF1202GL-, 40, 250, 250, 04
20442/19024/40C, 20442/19024, BRCO, /1DVF1202GL-, 40, 200, 200, 04
20442/19026/40A, 20442/19026, STRT, /1DVF1202GL-, 40, 250, 250, 04
20442/19026/40B, 20442/19026, STRT, /1DVF1202GL-, 40, 250, 250, 04
20442/19027/40A, 20442/19027, STRT, /1DVF1202GL-, 40, 250, 250, 04
20442/19027/40B, 20442/19027, STRT, /1DVF1202GL-, 40, 250, 250, 04
20442/55780/40A, 20442/55780, STRT, /1DVF1202GL-, 40, 250, 250, 04
20442/55780/40B, 20442/55780, STRT, /1DVF1202GL-, 40, 250, 250, 04
20442/55783/40A, 20442/55783, STRT, /1DVF1202GL-, 40, 250, 250, 04
