Ref. No., Name, Type, Part No., Line Number, Detailed Desc., Inlet L., Inlet W., Outlet L., Outlet W., Length, Insulation, Level, Room, Room Description, Building, Penetration Reference, Material, Fire Rating, Approved for Cons/Fab
20442/63749,NA, GASK, 1, /1DVF1101GL-, Rectangular Gasket, 200, 300, 200, 300, 3, 0, 0A, /1HFA0A03ZL-, Cable Deck  Interface with 1HGT and 1HGJ, 1HF Building, NA, NA, No, No
20442/18360,/1DVF1101RA-, DAMP, 2, /1DVF1101GL-, Volume Control Dampers, 300, 200, 300, 200, 200, 0, 0A, /1HFA0A03ZL-, Cable Deck  Interface with 1HGT and 1HGJ, 1HF Building, NA, Stainless Steel 304L, No, No
20442/63750,NA, GASK, 3, /1DVF1101GL-, Rectangular Gasket, 300, 200, 300, 200, 3, 0, 0A, /1HFA0A03ZL-, Cable Deck  Interface with 1HGT and 1HGJ, 1HF Building, NA, NA, No, No
20442/22685,NA, STRT, 4, /1DVF1101GL-, Rectangular Straight, 300, 200, 300, 200, 1000, 0, 0A, /1HFA0A03ZL-, Cable Deck  Interface with 1HGT and 1HGJ, 1HF Building, NA, Stainless Steel 304L, No, Yes
20442/63751,NA, GASK, 5, /1DVF1101GL-, Rectangular Gasket, 200, 300, 200, 300, 3, 0, 0A, /1HFA0A03ZL-, Cable Deck  Interface with 1HGT and 1HGJ, 1HF Building, NA, NA, No, No
20442/22686,NA, STRT, 6, /1DVF1101GL-, Rectangular Straight, 200, 300, 200, 300, 541, 0, 0A, /1HFA0A03ZL-, Cable Deck  Interface with 1HGT and 1HGJ, 1HF Building, NA, Stainless Steel 304L, No, Yes
20442/22686,/1DVF1101GLB0001T002, BRCO, 6, /1DVF1101GL-, Rectangular Boot Branch Connector, 300, 200, 300, 200, 75, 0, 0A, /1HFA0A03ZL-, Cable Deck  Interface with 1HGT and 1HGJ, 1HF Building, NA,  Stainless Steel 304L, No, Yes
20442/22686,/1DVF1101GLB0001T001, BRCO, 6, /1DVF1101GL-, Rectangular Boot Branch Connector, 300, 200, 300, 200, 75, 0, 0A, /1HFA0A03ZL-, Cable Deck  Interface with 1HGT and 1HGJ, 1HF Building, NA,  Stainless Steel 304L, No, Yes
20442/18363,NA, STRT, 7, /1DVF1101GL-, Rectangular Straight, 350, 200, 350, 200, 780, 90, 0A, /1HFA0A03ZL- /1HFA0404ZL-, Cable Deck  Interface with 1HGT and 1HGJ, 1HF Building, /1HFA0401DBTV003, Stainless Steel 304L, No, Yes
20442/18363,NA, SKIR, 7, /1DVF1101GL-, Penetration Spool Plate, 350, 200, 900, 730, 6, 90, 04, /1HFA0404ZL-, Cable deck, 1HF Building, /1HFA0401DBTV003, Stainless Steel 304L, No, Yes
20442/63746,NA, GASK, 8, /1DVF1101GL-, Rectangular Gasket, 350, 200, 350, 200, 3, 90, 0A, /1HFA0A03ZL-, Cable Deck  Interface with 1HGT and 1HGJ, 1HF Building, NA, NA, No, No
20442/46988,NA, STRT, 9, /1DVF1101GL-, Rectangular Straight, 350, 200, 350, 200, 411, 90, 0A, /1HFA0A03ZL-, Cable Deck  Interface with 1HGT and 1HGJ, 1HF Building, NA, Stainless Steel 304L, No, Yes
20442/63747,NA, GASK, 10, /1DVF1101GL-, Rectangular Gasket, 350, 200, 350, 200, 3, 90, 0A, /1HFA0A03ZL-, Cable Deck  Interface with 1HGT and 1HGJ, 1HF Building, NA, NA, No, No
20442/18361,NA, STRT, 11, /1DVF1101GL-, Rectangular Straight, 350, 200, 350, 200, 1200, 0, 0A, /1HFA0A03ZL-, Cable Deck  Interface with 1HGT and 1HGJ, 1HF Building, NA, Stainless Steel 304L, No, Yes
20442/18361,/1DVF1101GLB0002T001, BRCO, 11, /1DVF1101GL-, Rectangular Boot Branch Connector, 200, 350, 200, 350, 75, 0, 0A, /1HFA0A03ZL-, Cable Deck  Interface with 1HGT and 1HGJ, 1HF Building, NA,  Stainless Steel 304L, No, Yes
20442/63748,NA, GASK, 12, /1DVF1101GL-, Rectangular Gasket, 200, 350, 200, 350, 3, 0, 0A, /1HFA0A03ZL-, Cable Deck  Interface with 1HGT and 1HGJ, 1HF Building, NA, NA, No, No
20442/63754,NA, GASK, 13, /1DVF1101GL-, Rectangular Gasket, 200, 150, 200, 150, 3, 0, 0A, /1HFA0A03ZL-, Cable Deck  Interface with 1HGT and 1HGJ, 1HF Building, NA, NA, No, No
20442/18351,NA, STRT, 14, /1DVF1101GL-, Rectangular Straight, 200, 150, 200, 150, 500, 0, 0A, /1HFA0A03ZL-, Cable Deck  Interface with 1HGT and 1HGJ, 1HF Building, NA, Stainless Steel 304L, No, Yes
20442/18351,/1DVF1101GLB0003T001, BRCO, 14, /1DVF1101GL-, Rectangular Boot Branch Connector, 200, 150, 200, 150, 75, 0, 0A, /1HFA0A03ZL-, Cable Deck  Interface with 1HGT and 1HGJ, 1HF Building, NA,  Stainless Steel 304L, No, Yes
20442/63755,NA, GASK, 15, /1DVF1101GL-, Rectangular Gasket, 200, 150, 200, 150, 3, 0, 0A, /1HFA0A03ZL-, Cable Deck  Interface with 1HGT and 1HGJ, 1HF Building, NA, NA, No, No
20442/1651,/1DVF1102BW-, MESH, 16, /1DVF1101GL-, Supply Air Grille - Double Deflection with Damper, 150, 200, 150, 200, 10, 0, 0A, /1HFA0A03ZL-, Cable Deck  Interface with 1HGT and 1HGJ, 1HF Building, NA, Extruded Aluminium, No, No
20442/63752,NA, GASK, 1, /1DVF1103GL-, Rectangular Gasket, 200, 150, 200, 150, 3, 0, 0A, /1HFA0A03ZL-, Cable Deck  Interface with 1HGT and 1HGJ, 1HF Building, NA, NA, No, No
20442/18343,NA, STRT, 2, /1DVF1103GL-, Rectangular Straight, 200, 150, 200, 150, 500, 0, 0A, /1HFA0A03ZL-, Cable Deck  Interface with 1HGT and 1HGJ, 1HF Building, NA, Stainless Steel 304L, No, Yes
20442/18343,/1DVF1103GLB0001T001, BRCO, 2, /1DVF1103GL-, Rectangular Boot Branch Connector, 200, 150, 200, 150, 75, 0, 0A, /1HFA0A03ZL-, Cable Deck  Interface with 1HGT and 1HGJ, 1HF Building, NA,  Stainless Steel 304L, No, Yes
20442/63756,NA, GASK, 3, /1DVF1103GL-, Rectangular Gasket, 200, 150, 200, 150, 3, 0, 0A, /1HFA0A03ZL-, Cable Deck  Interface with 1HGT and 1HGJ, 1HF Building, NA, NA, No, No
20442/1658,/1DVF1103BW-, MESH, 4, /1DVF1103GL-, Supply Air Grille - Double Deflection with Damper, 150, 200, 150, 200, 10, 0, 0A, /1HFA0A03ZL-, Cable Deck  Interface with 1HGT and 1HGJ, 1HF Building, NA, Extruded Aluminium, No, No
20442/18365,NA, TAPE, 1, /1DVF1106GL-, Rectangular Taper, 200, 350, 200, 150, 361, 0, 0A, /1HFA0A03ZL-, Cable Deck  Interface with 1HGT and 1HGJ, 1HF Building, NA, Stainless Steel 304L, No, Yes
20442/63757,NA, GASK, 2, /1DVF1106GL-, Rectangular Gasket, 200, 150, 200, 150, 3, 0, 0A, /1HFA0A03ZL-, Cable Deck  Interface with 1HGT and 1HGJ, 1HF Building, NA, NA, No, No
20442/18366,NA, STRT, 3, /1DVF1106GL-, Rectangular Straight, 200, 150, 200, 150, 1200, 0, 0A, /1HFA0A03ZL-, Cable Deck  Interface with 1HGT and 1HGJ, 1HF Building, NA, Stainless Steel 304L, No, Yes
20442/18366,/1DVF1106GLB0001T001, BRCO, 3, /1DVF1106GL-, Rectangular Boot Branch Connector, 150, 200, 150, 200, 75, 0, 0A, /1HFA0A03ZL-, Cable Deck  Interface with 1HGT and 1HGJ, 1HF Building, NA,  Stainless Steel 304L, No, Yes
20442/63758,NA, GASK, 4, /1DVF1106GL-, Rectangular Gasket, 150, 200, 150, 200, 3, 90, 0A, /1HFA0A03ZL-, Cable Deck  Interface with 1HGT and 1HGJ, 1HF Building, NA, NA, No, No
20442/18367,NA, BEND, 5, /1DVF1106GL-, Rectangular 90 degree Radiused Bend, 150, 200, 150, 200, 262, 0, 0A, /1HFA0A03ZL-, Cable Deck  Interface with 1HGT and 1HGJ, 1HF Building, NA, Stainless Steel 304L, No, Yes
20442/63759,NA, GASK, 6, /1DVF1106GL-, Rectangular Gasket, 150, 200, 150, 200, 3, 90, 0A, /1HFA0A03ZL-, Cable Deck  Interface with 1HGT and 1HGJ, 1HF Building, NA, NA, No, No
20442/18370,NA, STRT, 7, /1DVF1106GL-, Rectangular Straight, 150, 200, 150, 200, 1200, 90, 0A, /1HFA0A03ZL-, Cable Deck  Interface with 1HGT and 1HGJ, 1HF Building, NA, Stainless Steel 304L, No, Yes
20442/63760,NA, GASK, 8, /1DVF1106GL-, Rectangular Gasket, 150, 200, 150, 200, 3, 90, 0A, /1HFA0A03ZL-, Cable Deck  Interface with 1HGT and 1HGJ, 1HF Building, NA, NA, No, No
20442/18371,NA, STRT, 9, /1DVF1106GL-, Rectangular Straight, 150, 200, 150, 200, 550, 90, 0A, /1HFA0A02ZL- /1HFA0A03ZL-, Firefighting Stairs, 1HF Building, /1HFA0A06VBTV002, Stainless Steel 304L, No, Yes
20442/18371,NA, SKIR, 9, /1DVF1106GL-, Penetration Spool Plate, 150, 200, 700, 700, 6, 90, 0A, /1HFA0A02ZL-, Firefighting Stairs, 1HF Building, /1HFA0A06VBTV002, Stainless Steel 304L, No, Yes
20442/63761,NA, GASK, 10, /1DVF1106GL-, Rectangular Gasket, 150, 200, 150, 200, 3, 90, 0A, /1HFA0A02ZL-, Firefighting Stairs, 1HF Building, NA, NA, No, No
28634/3448,/1DVF1106RA-, DAMP, 11, /1DVF1106GL-, Fire Damper, 200, 150, 200, 150, 300, 90, 0A, /1HFA0A02ZL-, Firefighting Stairs, 1HF Building, NA, Stainless Steel 304L, No, No
20442/63762,NA, GASK, 12, /1DVF1106GL-, Rectangular Gasket, 200, 150, 200, 150, 3, 90, 0A, /1HFA0A02ZL-, Firefighting Stairs, 1HF Building, NA, NA, No, No
20442/18374,NA, BEND, 13, /1DVF1106GL-, Rectangular 90 degree Radiused Bend, 150, 200, 150, 200, 215, 90, 0A, /1HFA0A02ZL-, Firefighting Stairs, 1HF Building, NA, Stainless Steel 304L, No, No
20442/63763,NA, GASK, 14, /1DVF1106GL-, Rectangular Gasket, 200, 150, 200, 150, 3, 90, 0A, /1HFA0A02ZL-, Firefighting Stairs, 1HF Building, NA, NA, No, No
20442/18369,/1DVF1107RA-, DAMP, 15, /1DVF1106GL-, Volume Control Dampers, 200, 150, 200, 150, 200, 90, 0A, /1HFA0A02ZL-, Firefighting Stairs, 1HF Building, NA, Stainless Steel 304L, No, No
20442/63764,NA, GASK, 16, /1DVF1106GL-, Rectangular Gasket, 200, 150, 200, 150, 3, 90, 0A, /1HFA0A02ZL-, Firefighting Stairs, 1HF Building, NA, NA, No, No
