Ref. No., Name, Type, System, Line Number, System Description, Inlet Bore, Outlet Bore, Pipe Length, Material, Detailed Description, Room, Room Description, Level, Building, File Reference
36826/9628, ileave tube of /1DVF1131TYB0001-, PIPE, 1DVF, /1DVF1131TY-, 1HFA DX Air Conditioning System, 16, 16, 280, Copper,SCH 40 PIPE ASME B36.10,/1HFA0A03ZL-, Cable Deck  Interface with 1HGT and 1HGJ, 0A,  1HF Building, NA
36826/9629, NA, BEND, 1DVF, /1DVF1131TY-, 1HFA DX Air Conditioning System, 16, 16, 70, Copper,BEND ISO 4200,/1HFA0A03ZL-, Cable Deck  Interface with 1HGT and 1HGJ, 0A,  1HF Building, NA
36826/9629, NA, PIPE, 1DVF, /1DVF1131TY-, 1HFA DX Air Conditioning System, 16, 16, 3825, Copper,SCH 40 PIPE ASME B36.10,/1HFA0A03ZL-, Cable Deck  Interface with 1HGT and 1HGJ, 0A,  1HF Building, NA
36826/9630, NA, BEND, 1DVF, /1DVF1131TY-, 1HFA DX Air Conditioning System, 16, 16, 70, Copper,BEND ISO 4200,/1HFA0A03ZL-, Cable Deck  Interface with 1HGT and 1HGJ, 0A,  1HF Building, NA
36826/9630, NA, PIPE, 1DVF, /1DVF1131TY-, 1HFA DX Air Conditioning System, 16, 16, 79, Copper,SCH 40 PIPE ASME B36.10,/1HFA0A03ZL-, Cable Deck  Interface with 1HGT and 1HGJ, 0A,  1HF Building, NA
36826/9631, NA, BEND, 1DVF, /1DVF1131TY-, 1HFA DX Air Conditioning System, 16, 16, 50, Copper,BEND ISO 4200,/1HFA0A03ZL-, Cable Deck  Interface with 1HGT and 1HGJ, 0A,  1HF Building, NA
36826/9631, NA, PIPE, 1DVF, /1DVF1131TY-, 1HFA DX Air Conditioning System, 16, 16, 1513, Copper,SCH 40 PIPE ASME B36.10,/1HFA0A03ZL-, Cable Deck  Interface with 1HGT and 1HGJ, 0A,  1HF Building, NA
36826/9632, NA, BEND, 1DVF, /1DVF1131TY-, 1HFA DX Air Conditioning System, 16, 16, 100, Copper,BEND ISO 4200,/1HFA0A03ZL-, Cable Deck  Interface with 1HGT and 1HGJ, 0A,  1HF Building, NA
36826/9632, NA, PIPE, 1DVF, /1DVF1131TY-, 1HFA DX Air Conditioning System, 16, 16, 2513, Copper,SCH 40 PIPE ASME B36.10,/1HFA0A03ZL-, Cable Deck  Interface with 1HGT and 1HGJ, 0A,  1HF Building, NA
36826/9633, NA, BEND, 1DVF, /1DVF1131TY-, 1HFA DX Air Conditioning System, 16, 16, 70, Copper,BEND ISO 4200,/1HFA0A03ZL-, Cable Deck  Interface with 1HGT and 1HGJ, 0A,  1HF Building, NA
36826/9633, NA, PIPE, 1DVF, /1DVF1131TY-, 1HFA DX Air Conditioning System, 16, 16, 1538, Copper,SCH 40 PIPE ASME B36.10,/1HFA0A03ZL- /1HFA0A04ZL-, Cable Deck  Interface with 1HGT and 1HGJ, 0A,  1HF Building, NA
